Record Date,Federal Tax Refund Type,Federal Tax Refund Type Description,Federal Tax Refunds Today,Federal Tax Refunds Month to Date,Federal Tax Refunds Fiscal Year to Date,Table Number,Table Name,Sub Table Name,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2026-03-24,Taxes - Business Tax Refunds (EFT),null,1109,3624,16124,V,Income Tax Refunds Issued,Classification,2,2026,2,2026,1,03,24
2026-03-24,Taxes - Individual Tax Refunds (Checks),null,46,2699,20989,V,Income Tax Refunds Issued,Classification,3,2026,2,2026,1,03,24
2026-03-24,Taxes - Individual Tax Refunds (EFT),null,1635,76898,207365,V,Income Tax Refunds Issued,Classification,4,2026,2,2026,1,03,24
2026-03-23,Taxes - Business Tax Refunds (Checks),null,35,5770,42906,V,Income Tax Refunds Issued,Classification,1,2026,2,2026,1,03,23
2026-03-23,Taxes - Business Tax Refunds (EFT),null,11,2515,15015,V,Income Tax Refunds Issued,Classification,2,2026,2,2026,1,03,23
2026-03-23,Taxes - Individual Tax Refunds (Checks),null,47,2654,20943,V,Income Tax Refunds Issued,Classification,3,2026,2,2026,1,03,23
2026-03-23,Taxes - Individual Tax Refunds (EFT),null,2486,75263,205730,V,Income Tax Refunds Issued,Classification,4,2026,2,2026,1,03,23
2026-03-20,Taxes - Business Tax Refunds (Checks),null,460,5735,42871,V,Income Tax Refunds Issued,Classification,1,2026,2,2026,1,03,20
2026-03-20,Taxes - Business Tax Refunds (EFT),null,8,2504,15004,V,Income Tax Refunds Issued,Classification,2,2026,2,2026,1,03,20
2026-03-20,Taxes - Individual Tax Refunds (Checks),null,755,2607,20896,V,Income Tax Refunds Issued,Classification,3,2026,2,2026,1,03,20
2026-03-20,Taxes - Individual Tax Refunds (EFT),null,2967,72777,203244,V,Income Tax Refunds Issued,Classification,4,2026,2,2026,1,03,20
2026-03-19,Taxes - Business Tax Refunds (Checks),null,36,5275,42411,V,Income Tax Refunds Issued,Classification,1,2026,2,2026,1,03,19
2026-03-19,Taxes - Business Tax Refunds (EFT),null,89,2497,14996,V,Income Tax Refunds Issued,Classification,2,2026,2,2026,1,03,19
2026-03-19,Taxes - Individual Tax Refunds (Checks),null,51,1852,20141,V,Income Tax Refunds Issued,Classification,3,2026,2,2026,1,03,19
2026-03-19,Taxes - Individual Tax Refunds (EFT),null,1549,69809,200277,V,Income Tax Refunds Issued,Classification,4,2026,2,2026,1,03,19
2026-03-18,Taxes - Business Tax Refunds (Checks),null,2,5240,42376,V,Income Tax Refunds Issued,Classification,1,2026,2,2026,1,03,18
2026-03-18,Taxes - Business Tax Refunds (EFT),null,1062,2408,14907,V,Income Tax Refunds Issued,Classification,2,2026,2,2026,1,03,18
2026-03-18,Taxes - Individual Tax Refunds (Checks),null,42,1801,20091,V,Income Tax Refunds Issued,Classification,3,2026,2,2026,1,03,18
2026-03-18,Taxes - Individual Tax Refunds (EFT),null,12185,68260,198727,V,Income Tax Refunds Issued,Classification,4,2026,2,2026,1,03,18
2026-03-17,Taxes - Business Tax Refunds (Checks),null,1367,5238,42374,V,Income Tax Refunds Issued,Classification,1,2026,2,2026,1,03,17
2026-03-17,Taxes - Business Tax Refunds (EFT),null,385,1346,13846,V,Income Tax Refunds Issued,Classification,2,2026,2,2026,1,03,17
2026-03-17,Taxes - Individual Tax Refunds (Checks),null,44,1760,20049,V,Income Tax Refunds Issued,Classification,3,2026,2,2026,1,03,17
2026-03-17,Taxes - Individual Tax Refunds (EFT),null,1599,56075,186542,V,Income Tax Refunds Issued,Classification,4,2026,2,2026,1,03,17
2026-03-16,Taxes - Business Tax Refunds (Checks),null,347,3871,41007,V,Income Tax Refunds Issued,Classification,1,2026,2,2026,1,03,16
2026-03-16,Taxes - Business Tax Refunds (EFT),null,0,961,13461,V,Income Tax Refunds Issued,Classification,2,2026,2,2026,1,03,16
2026-03-16,Taxes - Individual Tax Refunds (Checks),null,49,1716,20005,V,Income Tax Refunds Issued,Classification,3,2026,2,2026,1,03,16
2026-03-16,Taxes - Individual Tax Refunds (EFT),null,2804,54476,184944,V,Income Tax Refunds Issued,Classification,4,2026,2,2026,1,03,16
2026-03-13,Taxes - Business Tax Refunds (Checks),null,19,3524,40660,V,Income Tax Refunds Issued,Classification,1,2026,2,2026,1,03,13
2026-03-13,Taxes - Business Tax Refunds (EFT),null,25,961,13461,V,Income Tax Refunds Issued,Classification,2,2026,2,2026,1,03,13
2026-03-13,Taxes - Individual Tax Refunds (Checks),null,621,1666,19955,V,Income Tax Refunds Issued,Classification,3,2026,2,2026,1,03,13
2026-03-13,Taxes - Individual Tax Refunds (EFT),null,3266,51672,182139,V,Income Tax Refunds Issued,Classification,4,2026,2,2026,1,03,13
2026-03-12,Taxes - Business Tax Refunds (Checks),null,49,3504,40641,V,Income Tax Refunds Issued,Classification,1,2026,2,2026,1,03,12
2026-03-12,Taxes - Business Tax Refunds (EFT),null,696,937,13436,V,Income Tax Refunds Issued,Classification,2,2026,2,2026,1,03,12
2026-03-12,Taxes - Individual Tax Refunds (Checks),null,37,1046,19335,V,Income Tax Refunds Issued,Classification,3,2026,2,2026,1,03,12
2026-03-12,Taxes - Individual Tax Refunds (EFT),null,1637,48406,178874,V,Income Tax Refunds Issued,Classification,4,2026,2,2026,1,03,12
2026-03-11,Taxes - Business Tax Refunds (Checks),null,26,3455,40592,V,Income Tax Refunds Issued,Classification,1,2026,2,2026,1,03,11
2026-03-11,Taxes - Business Tax Refunds (EFT),null,6,240,12740,V,Income Tax Refunds Issued,Classification,2,2026,2,2026,1,03,11
2026-03-11,Taxes - Individual Tax Refunds (Checks),null,43,1009,19298,V,Income Tax Refunds Issued,Classification,3,2026,2,2026,1,03,11
2026-03-11,Taxes - Individual Tax Refunds (EFT),null,13643,46769,177237,V,Income Tax Refunds Issued,Classification,4,2026,2,2026,1,03,11
