ei,xi,pnl,slv,root
2025-05-27 11:30:00,2025-05-27 12:20:00,120.5,ZB#0,ZB
2025-05-27 18:35:00,2025-05-27 18:55:00,120.5,ZB#0,ZB
2025-05-27 20:10:00,2025-05-27 20:30:00,89.25,ZB#2,ZB
2025-05-27 22:45:00,2025-05-28 00:00:00,-68.1160714285694,ZB#0,ZB
2025-05-28 00:00:00,2025-05-28 00:05:00,26.75,ZB#1,ZB
2025-05-28 00:00:00,2025-05-28 00:05:00,11.125,ZN#5,ZN
2025-05-28 00:00:00,2025-05-28 00:05:00,-1.1517857142918047,ZN#3,ZN
2025-05-28 01:30:00,2025-05-28 01:35:00,58.0,ZB#0,ZB
2025-05-28 01:30:00,2025-05-28 01:50:00,-31.285714285708195,ZB#2,ZB
2025-05-28 02:50:00,2025-05-28 02:50:00,-20.125,ZN#5,ZN
2025-05-28 02:10:00,2025-05-28 02:50:00,26.75,ZN#4,ZN
2025-05-28 03:40:00,2025-05-28 03:50:00,58.0,ZB#0,ZB
2025-05-28 05:50:00,2025-05-28 05:55:00,58.0,ZB#0,ZB
2025-05-28 05:50:00,2025-05-28 05:55:00,11.125,ZN#5,ZN
2025-05-28 05:55:00,2025-05-28 06:00:00,-8.964285714291805,ZB#2,ZB
2025-05-28 06:00:00,2025-05-28 06:05:00,11.125,ZN#4,ZN
2025-05-28 06:00:00,2025-05-28 06:05:00,26.75,ZN#3,ZN
2025-05-28 07:55:00,2025-05-28 08:10:00,58.0,ZB#1,ZB
2025-05-28 07:55:00,2025-05-28 08:50:00,89.25,ZB#0,ZB
2025-05-28 09:55:00,2025-05-28 10:10:00,-98.25,ZB#0,ZB
