mkt,mech,tr_wk,ho_wk,tr_adj,ho_adj,side,dec
RTY,xmk,-94.40787459685359,-51.108066835008806,-94.2864713890208,-50.20193855332905,0.039779005524861875,1
RTY,imp,-41.53553188164629,-58.64922568592891,-41.63158180912847,-57.60902740338836,0.03334856098675194,3
RTY,cal,-10.756725345692328,18.990040634823604,-9.540743015029603,22.841085831962587,-1.0,6
RTY,xmk,-94.9872776170938,-124.03662345269437,-95.05066081797035,-124.05049276312828,0.08665045437092025,1
RTY,imp,12.226732296886048,-40.84882173333165,12.257448771157,-41.60238760023879,0.07727272727272727,9
RTY,cal,-5.590375146144521,-16.021418258823303,-7.83072751558928,-22.456778300140794,1.0,7
RTY,imp,-82.58673258861424,-102.28195226890116,-82.3429510467813,-100.57140398205671,-0.04165728439540644,2
RTY,xmk,-15.503882270493952,-10.206852899722124,-15.42733486635841,-9.689065310190838,-0.08143322475570032,5
RTY,rev,102.34398828867685,-440.1146787181599,104.22549422854351,-452.57394259125664,0.00705264884369362,9
RTY,rnd,-2.3259324790488494,-6.04027966128825,-16.106415475781546,-51.499256160048965,1.0,5
RTY,sqz,-11.493253377054979,-4.958996551695008,-11.233382253461059,-4.293269650869061,0.12179487179487179,6
RTY,imp,-80.23941780269669,-136.686723679779,-80.12142753644954,-134.80974366772807,-0.04854368932038835,2
RTY,rev,-38.96944174734353,-32.46029243997719,-38.90118291563031,-31.276777949619948,-0.06782215523737754,3
RTY,sqz,-22.941170877686982,-27.538800874462392,-23.299529744181417,-29.355680541299876,0.031292517006802724,5
RTY,rev,-88.7495589909995,-114.8898693903451,-88.92800707962122,-117.44644561365587,0.05199189736664416,2
RTY,rnd,-18.533538121892718,-23.32528151230249,-32.28330464435446,-60.22227036988504,1.0,4
RTY,rev,-4.2441327541528295,40.442884062851114,-3.8843111984074046,38.787813017742145,-0.05521472392638037,7
RTY,orb,-6.562647624844066,3.2776308826997917,-6.73768277188012,2.533311222748559,0.27071823204419887,7
RTY,rnd,-99.5184764152216,-104.755909434173,-82.969610229434,-51.98318323328282,-1.0,2
RTY,orb,-1.7394546846377674,-2.5164963557802884,-1.7340914907174427,-2.4980039418684568,-0.20388349514563106,8
RTY,xmk,-10.961851922917115,142.20073171637574,-10.560099941976414,142.13138516420636,0.02791792801883619,6
RTY,imp,-70.42462372616626,-127.88464411214774,-70.8010224267563,-128.36082377037738,0.0918009810791871,2
RTY,rev,-29.063454562138237,-45.444287717769896,-29.023474389277634,-45.379564269078486,0.10711718188353703,4
RTY,vwr,-42.196015741890044,-29.82121195300338,-41.944433190718435,-28.744028842639178,-0.10326329906124274,3
RTY,xmk,-37.94447367509104,-38.47479589827924,-37.92107064707508,-38.43318796697761,0.013064576334453154,3
RTY,rnd,-2.137397150103223,-8.228275826441338,-2.9945330511878536,-10.405757564559542,1.0,8
RTY,rev,-100.12114796291198,-106.68161557900984,-100.0324114816848,-109.57105525273356,0.023100473142220985,1
