cond,mech,tpw,tr,ho,trpos,both
frictionless,orb,1.2389380530973453,-3.6889418439040624,-0.5512722927920506,False,False
full cost today,rev,25.309734513274336,-7.203970680949847,-6.970725098679617,False,False
no exit slippage,rev,25.309734513274336,-6.8194846996414356,-6.606128004888335,False,False
no commission,rev,25.309734513274336,-5.403970680949846,-5.170725098679617,False,False
lifetime plan + stop-limit,rev,25.309734513274336,-6.091279092164797,-5.869966842404848,False,False
frictionless,rev,25.309734513274336,-5.019484699641435,-4.806128004888336,False,False
full cost today,rev,56.77728613569322,-3.8203872856505114,-5.672200636345714,False,False
no exit slippage,rev,56.77728613569322,-3.488754632589287,-5.340424935411134,False,False
no commission,rev,56.77728613569322,-2.020387285650512,-3.8722006363457124,False,False
lifetime plan + stop-limit,rev,56.77728613569322,-2.7394076938137766,-4.591135215784965,False,False
frictionless,rev,56.77728613569322,-1.6887546325892873,-3.540424935411133,False,False
full cost today,vol,56.17256637168142,-3.306653864045295,-3.8338072182263874,False,False
no exit slippage,vol,56.17256637168142,-2.9629147034486945,-3.491019535892514,False,False
no commission,vol,56.17256637168142,-1.5066538640452958,-2.033807218226388,False,False
lifetime plan + stop-limit,vol,56.17256637168142,-2.2184103676873344,-2.746134608826063,False,False
frictionless,vol,56.17256637168142,-1.1629147034486949,-1.6910195358925144,False,False
full cost today,vwr,63.075221238938056,-4.490826144535979,-4.758910583000417,False,False
no exit slippage,vwr,63.075221238938056,-4.123496253891994,-4.397813579445313,False,False
no commission,vwr,63.075221238938056,-2.6908261445359796,-2.9589105830004163,False,False
lifetime plan + stop-limit,vwr,63.075221238938056,-3.3884282101495864,-3.660252380867352,False,False
frictionless,vwr,63.075221238938056,-2.323496253891994,-2.597813579445312,False,False
full cost today,imp,55.08849557522124,-3.39288958382159,-3.6737965637430268,False,False
no exit slippage,imp,55.08849557522124,-3.015304291263697,-3.303691765066799,False,False
no commission,imp,55.08849557522124,-1.59288958382159,-1.873796563743027,False,False
lifetime plan + stop-limit,imp,55.08849557522124,-2.2843384082868545,-2.5697336845372902,False,False
frictionless,imp,55.08849557522124,-1.215304291263697,-1.5036917650667998,False,False
full cost today,imp,167.094395280236,-2.9992063003792477,-3.353498576245039,False,False
no exit slippage,imp,167.094395280236,-2.6359589347158603,-2.9910647138111766,False,False
no commission,imp,167.094395280236,-1.1992063003792477,-1.553498576245039,False,False
lifetime plan + stop-limit,imp,167.094395280236,-1.8992578809812155,-2.254038258784721,False,False
frictionless,imp,167.094395280236,-0.8359589347158605,-1.1910647138111765,False,False
full cost today,vol,1.8952802359882006,-4.402736091969083,-4.0790212365239755,False,False
no exit slippage,vol,1.8952802359882006,-3.9934223664788875,-3.711096708222089,False,False
no commission,vol,1.8952802359882006,-2.6027360919690836,-2.2790212365239744,False,False
lifetime plan + stop-limit,vol,1.8952802359882006,-3.2751478566749666,-2.976266519542842,False,False
frictionless,vol,1.8952802359882006,-2.1934223664788877,-1.9110967082220873,False,False
full cost today,imp,36.902654867256636,-3.2516020004642354,-3.912168350094078,False,False
no exit slippage,imp,36.902654867256636,-2.894060842737204,-3.5559486408856777,False,False
no commission,imp,36.902654867256636,-1.4516020004642363,-2.112168350094078,False,False
lifetime plan + stop-limit,imp,36.902654867256636,-2.1550773058280175,-2.8164365245690366,False,False
frictionless,imp,36.902654867256636,-1.094060842737205,-1.7559486408856775,False,False
full cost today,vwr,23.28171091445428,-4.176902514514284,-3.384480196615887,False,False
no exit slippage,vwr,23.28171091445428,-3.7885114758177463,-3.0076995698352604,False,False
no commission,vwr,23.28171091445428,-2.3769025145142844,-1.5844801966158872,False,False
lifetime plan + stop-limit,vwr,23.28171091445428,-3.0618678912963606,-2.2764118205475103,False,False
frictionless,vwr,23.28171091445428,-1.988511475817747,-1.2076995698352606,False,False
