mkt,split,mech,n,tr,ho
ZF,0.5,rev,112,3.7085770057387295,-13.04817719285754
ZF,0.5,rnd,119,10.137948678074522,-16.873961801821245
ZF,0.5,sqz,50,4.944138292710821,-18.972247151189375
ZF,0.5,vwr,111,5.4362254101470775,-15.107606766587457
ZF,0.6,cal,46,9.370833551627204,-3.686167465972378
ZF,0.6,gap,9,-4.944509247728093,-8.137848829013732
ZF,0.6,imp,117,6.535210249230244,-11.968515100595852
ZF,0.6,orb,50,18.581176540790675,-12.240469516011757
ZF,0.6,rev,110,3.651847928848454,-16.695903599106686
ZF,0.6,rnd,120,6.627647056978662,-12.513016710240542
ZF,0.6,sqz,51,3.2268902254492757,-17.62224836339935
ZF,0.6,vwr,111,9.03483002379104,-13.765350822142073
ZF,0.7,cal,46,9.35870612375514,-5.137036007216391
ZF,0.7,gap,8,-5.2742970340672795,-4.383397238660307
ZF,0.7,imp,117,5.404515557721468,-13.849384383738064
ZF,0.7,orb,44,13.619942980224414,-13.932405473078875
ZF,0.7,rev,110,0.5020310086722116,-7.22540210944751
ZF,0.7,rnd,118,6.00383117159217,-15.665687569115107
ZF,0.7,sqz,46,3.026143426763691,-23.372013175348627
ZF,0.7,vwr,111,3.807246169457984,-9.586183896472598
ZF,0.8,cal,44,2.1585449156434193,-1.259531690497295
ZF,0.8,gap,6,-5.212791019834604,0.7800255345934474
ZF,0.8,imp,114,3.2422419398442344,-10.673336273979887
ZF,0.8,orb,19,2.081619915793952,-19.599466678308605
ZF,0.8,rev,110,-0.23758469162129775,-4.385984366332204
ZF,0.8,rnd,108,2.353146056859751,-2.601538658117444
ZF,0.8,sqz,40,-1.3427555051142022,-23.336265451715263
ZF,0.8,vwr,109,0.677610192142774,-3.4265225049813806
ZT,0.5,cal,42,-1.6798818741569184,-11.710754590124601
ZT,0.5,gap,7,-7.551439611077247,-14.07862824761323
ZT,0.5,imp,116,-9.629585298115177,-17.76272972487031
ZT,0.5,orb,46,10.839103706719,-25.063196668670297
ZT,0.5,rev,110,-6.805166889116736,-12.248421985755972
ZT,0.5,rnd,111,5.290857245867111,-14.20511102002215
ZT,0.5,sqz,46,-5.071124478324454,-16.636993284939624
ZT,0.5,vwr,110,-12.02204723536902,-16.861371407446125
ZT,0.6,cal,42,2.787488213644258,-11.974628123625655
ZT,0.6,gap,6,-12.926942178404063,-12.15490083105589
ZT,0.6,imp,116,-4.1429767748297355,-21.119374880137524
ZT,0.6,orb,49,5.052346855533316,-11.317347802084726
ZT,0.6,rev,110,-7.139438727462668,-12.158653804820176
ZT,0.6,rnd,108,6.7190908568543435,-17.968182542670014
ZT,0.6,sqz,49,-2.291306069309339,-14.349262131725254
ZT,0.6,vwr,110,-11.80249431488897,-14.17584367185577
ZT,0.7,cal,42,1.4635230321369057,-12.789083306626202
ZT,0.7,gap,5,-17.552711376221914,-13.705113672600897
ZT,0.7,imp,115,-6.034136134359507,-22.55345796858776
ZT,0.7,orb,30,4.037069234401376,-17.01151938524637
ZT,0.7,rev,110,-8.215170151217846,-8.972276838578468
ZT,0.7,rnd,101,4.297500286212897,-22.916895898356536
ZT,0.7,sqz,42,-2.9496247283418016,-16.49893526268536
ZT,0.7,vwr,109,-11.623303220109687,-14.512997557254414
ZT,0.8,cal,34,-4.134231190992631,-13.574686572791435
ZT,0.8,gap,4,-16.82125068892733,-16.017931491862708
ZT,0.8,imp,112,-8.222494516192057,-20.156277721697755
