n,tr_day,wr,per_day,per_trade,maxDD,sharpe,worst_q,n_folds,pos_folds,name,fam,mode
16075,20.9,46.5,-33.8,-1.62,27549.0,-2.25,-100.6,13,1,FADE8w3_s14.5-21.0_w50_fixedS30.0T60.0B0.0tr0.0,imp,fixed
45021,57.9,29.4,-224.0,-3.87,174206.0,-22.37,-326.6,13,0,FADE8w3_s14.5-21.0_a50_trailS30.0T0.0B0.0tr8.0,imp,trail
35075,45.3,34.0,-170.4,-3.76,132242.0,-11.81,-318.5,13,0,FADE8w3_s14.5-21.0_a50_trailS30.0T0.0B0.0tr15.0,imp,trail
29792,38.5,37.2,-140.7,-3.66,109061.0,-8.93,-258.2,13,0,FADE8w3_s14.5-21.0_a50_trailS40.0T0.0B0.0tr20.0,imp,trail
39033,50.2,32.0,-195.9,-3.9,152356.0,-15.18,-329.0,13,0,FADE8w3_s14.5-21.0_a50_trailS30.0T60.0B0.0tr12.0,imp,trail
29113,37.6,26.1,-118.3,-3.15,92671.0,-7.37,-252.6,13,0,FADE8w3_s14.5-21.0_a50_beS20.0T40.0B10.0tr0.0,imp,be
23201,30.0,33.9,-84.0,-2.8,65996.0,-4.91,-166.9,13,0,FADE8w3_s14.5-21.0_a50_beS30.0T60.0B15.0tr0.0,imp,be
35201,45.4,33.3,-169.4,-3.73,131527.0,-11.87,-317.6,13,0,FADE8w3_s14.5-21.0_a50_trailbeS30.0T0.0B12.0tr15.0,imp,trailbe
30088,38.9,36.0,-142.1,-3.65,110110.0,-9.2,-260.8,13,0,FADE8w3_s14.5-21.0_a50_trailbeS40.0T80.0B15.0tr20.0,imp,trailbe
24726,31.9,41.6,-83.7,-2.62,66025.0,-4.67,-156.4,13,0,FADE8w3_s14.5-21.0_a50_fixedS20.0T40.0B0.0tr0.0,imp,fixed
20664,26.7,44.8,-78.7,-2.95,63082.0,-4.22,-143.1,13,0,FADE8w3_s14.5-21.0_a50_fixedS30.0T60.0B0.0tr0.0,imp,fixed
20374,26.5,29.1,-104.5,-3.94,80306.0,-16.99,-144.1,13,0,FADE8w3_s14.5-16.0_trailS30.0T0.0B0.0tr8.0,imp,trail
14575,19.0,32.9,-74.6,-3.93,57304.0,-8.59,-150.0,13,0,FADE8w3_s14.5-16.0_trailS30.0T0.0B0.0tr15.0,imp,trail
11769,15.3,35.5,-57.4,-3.75,44257.0,-5.84,-99.6,13,0,FADE8w3_s14.5-16.0_trailS40.0T0.0B0.0tr20.0,imp,trail
16877,22.0,31.6,-83.8,-3.81,64432.0,-10.82,-147.3,13,0,FADE8w3_s14.5-16.0_trailS30.0T60.0B0.0tr12.0,imp,trail
11659,15.2,22.3,-47.8,-3.15,37162.0,-4.96,-95.3,13,0,FADE8w3_s14.5-16.0_beS20.0T40.0B10.0tr0.0,imp,be
8565,11.2,29.5,-29.9,-2.68,23725.0,-2.74,-78.0,13,1,FADE8w3_s14.5-16.0_beS30.0T60.0B15.0tr0.0,imp,be
14646,19.1,32.1,-74.8,-3.92,57473.0,-8.64,-154.3,13,0,FADE8w3_s14.5-16.0_trailbeS30.0T0.0B12.0tr15.0,imp,trailbe
11927,15.5,34.4,-56.1,-3.61,43211.0,-5.76,-116.7,13,0,FADE8w3_s14.5-16.0_trailbeS40.0T80.0B15.0tr20.0,imp,trailbe
9313,12.1,39.8,-28.0,-2.31,22623.0,-2.62,-89.6,13,0,FADE8w3_s14.5-16.0_fixedS20.0T40.0B0.0tr0.0,imp,fixed
7188,9.4,43.2,-33.0,-3.53,25745.0,-2.8,-79.9,13,0,FADE8w3_s14.5-16.0_fixedS30.0T60.0B0.0tr0.0,imp,fixed
9338,12.2,29.6,-45.6,-3.73,35229.0,-12.01,-85.0,13,0,FADE8w3_s14.5-16.0_w50_trailS30.0T0.0B0.0tr8.0,imp,trail
7965,10.4,33.8,-37.6,-3.6,29197.0,-5.81,-97.6,13,0,FADE8w3_s14.5-16.0_w50_trailS30.0T0.0B0.0tr15.0,imp,trail
7025,9.2,36.0,-27.3,-2.97,21409.0,-3.65,-87.5,13,0,FADE8w3_s14.5-16.0_w50_trailS40.0T0.0B0.0tr20.0,imp,trail
8610,11.3,31.8,-41.8,-3.71,32330.0,-7.52,-103.2,13,0,FADE8w3_s14.5-16.0_w50_trailS30.0T60.0B0.0tr12.0,imp,trail
6719,8.8,23.8,-18.1,-2.06,14965.0,-2.45,-69.7,13,1,FADE8w3_s14.5-16.0_w50_beS20.0T40.0B10.0tr0.0,imp,be
5494,7.2,31.8,-10.4,-1.44,9701.0,-1.18,-42.1,13,3,FADE8w3_s14.5-16.0_w50_beS30.0T60.0B15.0tr0.0,imp,be
7981,10.4,32.9,-37.8,-3.62,29302.0,-5.84,-96.1,13,0,FADE8w3_s14.5-16.0_w50_trailbeS30.0T0.0B12.0tr15.0,imp,trailbe
7062,9.2,34.9,-27.4,-2.96,21467.0,-3.69,-81.2,13,0,FADE8w3_s14.5-16.0_w50_trailbeS40.0T80.0B15.0tr20.0,imp,trailbe
