,pnl
2026-06-05 16:52:00.074465227+00:00,-64.0
2026-06-05 17:08:00.103502213+00:00,-133.5
2026-06-05 17:24:00.072236749+00:00,52.5
2026-06-05 17:40:00.144351071+00:00,93.0
2026-06-05 17:56:00.581053285+00:00,-95.0
2026-06-05 18:14:00.085338045+00:00,-244.5
2026-06-05 18:30:00.101093369+00:00,-148.5
2026-06-05 18:48:00.084778779+00:00,-180.0
2026-06-05 19:04:00.085891433+00:00,210.5
2026-06-05 19:20:00.086254407+00:00,-376.5
2026-06-05 19:36:00.154183703+00:00,149.0
2026-06-05 19:53:00.128530481+00:00,35.5
2026-06-05 20:09:00.184528555+00:00,-447.0
2026-06-05 20:25:00.213093951+00:00,-126.5
2026-06-05 20:41:00.223558899+00:00,-90.0
2026-06-08 13:52:00.102667837+00:00,65.0
2026-06-08 14:13:00.163682501+00:00,113.5
2026-06-08 16:52:00.128319089+00:00,41.0
2026-06-08 17:18:00.099443183+00:00,39.5
2026-06-08 18:59:00.091912703+00:00,11.5
2026-06-08 19:32:00.097727311+00:00,102.0
2026-06-09 13:58:00.081461099+00:00,57.0
2026-06-09 14:15:00.088607871+00:00,-363.0
2026-06-09 14:31:00.113107973+00:00,-156.5
2026-06-09 15:00:00.084800853+00:00,-96.0
2026-06-09 15:57:00.070033933+00:00,295.5
2026-06-09 16:41:00.067824197+00:00,613.0
2026-06-09 16:57:00.144985953+00:00,98.5
2026-06-09 17:13:00.082564887+00:00,-514.0
2026-06-09 17:29:00.114240279+00:00,-290.5
2026-06-09 17:45:00.141464001+00:00,-253.0
2026-06-09 19:34:00.113677601+00:00,185.0
2026-06-09 20:13:00.207808175+00:00,-12.0
2026-06-10 15:24:00.097485555+00:00,-24.5
2026-06-10 17:13:00.145971547+00:00,-100.0
2026-06-10 17:44:00.067313189+00:00,-128.0
2026-06-10 18:01:00.121769737+00:00,256.5
2026-06-10 19:32:00.090676803+00:00,37.0
2026-06-10 19:48:00.138087031+00:00,-11.5
2026-06-10 20:35:00.415438361+00:00,39.0
