pattern,hold_min,side,sel_per_trade,sel_n,blind_per_trade,blind_n,sel_usd_wk,blind_usd_wk,sel_tr_wk,blind_tr_wk
F15I3_44709_h5,5,1,0.49,407,0.6,713,2.0,5.0,5.0,9.1
F15V4_10977083_h15,15,1,0.16,988,-4.96,1513,2.0,-96.0,12.0,19.4
F05I3_40017_h15,15,1,0.17,1014,-2.72,875,2.0,-31.0,12.4,11.2
M1B3_5757_h15,15,-1,0.27,615,-6.84,879,2.0,-77.0,7.5,11.3
F15V3_262826_h15,15,1,0.54,364,-5.51,848,2.0,-60.0,4.4,10.9
M1B4_302625_h30,30,-1,0.11,1162,-6.68,1642,2.0,-141.0,14.2,21.1
F15I3_44829_h5,5,1,0.4,430,-1.67,705,2.0,-15.0,5.2,9.0
F15V4_19934597_h15,15,1,0.25,812,-5.32,478,2.0,-33.0,9.9,6.1
F05I4_5307261_h5,5,-1,0.34,579,-4.56,969,2.0,-57.0,7.1,12.4
F15V4_13433903_h15,15,-1,0.46,445,-8.14,694,2.0,-72.0,5.4,8.9
F05I4_5081373_h5,5,-1,0.33,556,0.72,1122,2.0,10.0,6.8,14.4
F15I4_4801313_h5,5,1,0.3,461,0.76,698,2.0,7.0,5.6,8.9
F15I3_44927_h5,5,1,0.55,333,-3.03,567,2.0,-22.0,4.1,7.3
F15V4_10977083_h5,5,1,0.15,1122,-3.01,1779,2.0,-69.0,13.7,22.8
F15V4_24416639_h5,5,1,0.63,313,-8.0,481,2.0,-49.0,3.8,6.2
F15V4_12871798_h5,5,1,0.88,230,-2.57,602,2.0,-20.0,2.8,7.7
F15V4_22331795_h15,15,1,0.11,777,1.4,240,1.0,4.0,9.5,3.1
F15I3_109437_h15,15,-1,0.08,1082,-3.73,1607,1.0,-77.0,13.2,20.6
F15I4_5302559_h5,5,-1,0.25,402,-5.82,664,1.0,-50.0,4.9,8.5
F15I4_2594303_h5,5,1,0.14,419,-1.51,640,1.0,-12.0,5.1,8.2
F15I4_5307263_h5,5,1,0.19,450,-3.43,659,1.0,-29.0,5.5,8.4
F15I4_1920161_h5,5,-1,0.13,638,-2.57,841,1.0,-28.0,7.8,10.8
F15V3_32564_h15,15,1,0.12,485,-3.0,693,1.0,-27.0,5.9,8.9
F05I4_2428391_h5,5,-1,0.15,580,-4.02,1159,1.0,-60.0,7.1,14.9
F15V3_307535_h30,30,1,0.04,1368,-1.96,602,1.0,-15.0,16.7,7.7
F15V4_11197403_h5,5,1,0.35,307,-6.9,502,1.0,-44.0,3.7,6.4
F15I3_98800_h5,5,-1,0.14,332,-5.32,1429,1.0,-97.0,4.0,18.3
F15I4_5247359_h5,5,-1,0.21,322,-6.76,516,1.0,-45.0,3.9,6.6
F15I4_4574371_h5,5,1,0.3,313,-11.32,498,1.0,-72.0,3.8,6.4
F15V4_26625023_h15,15,1,0.08,947,-2.93,642,1.0,-24.0,11.5,8.2
F15V3_181330_h5,5,-1,0.17,251,-7.04,644,1.0,-58.0,3.1,8.3
F15V4_26683775_h15,15,1,0.17,609,-6.49,502,1.0,-42.0,7.4,6.4
F05I4_1929503_h5,5,-1,0.07,822,-4.73,1195,1.0,-72.0,10.0,15.3
M1B3_6897_h15,15,-1,0.24,421,0.7,687,1.0,6.0,5.1,8.8
F15V3_370607_h15,15,1,0.06,1202,-4.64,894,1.0,-53.0,14.7,11.5
F05V3_74448_h15,15,1,0.18,584,-2.07,1692,1.0,-45.0,7.1,21.7
F15I4_2649501_h5,5,-1,0.29,293,-2.78,534,1.0,-19.0,3.6,6.8
F05I4_2594301_h5,5,-1,0.13,683,-5.11,1136,1.0,-74.0,8.3,14.6
F05I3_104829_h5,5,-1,0.02,1147,-4.81,2085,0.0,-129.0,14.0,26.7
F15I4_1975361_h5,5,-1,-0.03,596,-4.84,866,-0.0,-54.0,7.3,11.1
F15V3_372797_h15,15,-1,-0.02,498,-2.75,298,-0.0,-11.0,6.1,3.8
F05I4_2202403_h2,2,1,0.02,586,-1.43,993,0.0,-18.0,7.1,12.7
F15I4_4575523_h5,5,-1,0.01,401,-1.77,602,0.0,-14.0,4.9,7.7
F05I3_41469_h5,5,-1,0.01,719,-6.28,1162,0.0,-94.0,8.8,14.9
M1B3_4591_h15,15,1,0.04,507,-5.0,344,0.0,-22.0,6.2,4.4
M1B3_3622_h15,15,1,0.07,470,-3.8,1083,0.0,-53.0,5.7,13.9
F15V3_147232_h5,5,1,0.0,404,0.97,820,0.0,10.0,4.9,10.5
F15V3_120923_h15,15,1,-0.02,719,-4.05,392,-0.0,-20.0,8.8,5.0
F15V4_26873417_h15,15,-1,0.03,999,-1.72,1467,0.0,-32.0,12.2,18.8
F05I3_99935_h15,15,1,0.02,1096,-3.64,1563,0.0,-73.0,13.4,20.0
F15V4_10976651_h15,15,-1,0.02,1317,-3.42,1941,0.0,-85.0,16.1,24.9
F15V4_20121221_h15,15,1,-0.0,864,0.74,509,-0.0,5.0,10.5,6.5
F15V4_24353957_h15,15,-1,0.05,598,-2.87,422,0.0,-16.0,7.3,5.4
F15V4_24537989_h15,15,1,0.05,680,-3.56,408,0.0,-19.0,8.3,5.2
F05I4_5303805_h5,5,-1,0.05,766,-4.04,1201,0.0,-62.0,9.3,15.4
F15V4_10976651_h30,30,-1,-0.02,1105,-5.25,1534,-0.0,-103.0,13.5,19.7
F05I3_55175_h2,2,-1,0.01,710,-6.01,1206,0.0,-93.0,8.7,15.5
F15I4_4800187_h5,5,1,0.08,324,-4.51,560,0.0,-32.0,4.0,7.2
F05I3_97554_h5,5,-1,-0.15,616,-5.29,2343,-1.0,-159.0,7.5,30.0
F05I4_5027327_h15,15,-1,-0.05,1164,-4.47,1824,-1.0,-105.0,14.2,23.4
F15V3_371945_h15,15,1,-0.13,591,-6.68,325,-1.0,-28.0,7.2,4.2
F15I4_5307165_h5,5,1,-0.24,489,-3.2,836,-1.0,-34.0,6.0,10.7
F05I4_4795459_h15,15,-1,-0.04,1298,-5.53,1867,-1.0,-132.0,15.8,23.9
F15V3_367954_h5,5,1,-0.19,291,-2.62,753,-1.0,-25.0,3.5,9.7
F05I4_5082597_h5,5,-1,-0.06,736,-3.36,1481,-1.0,-64.0,9.0,19.0
F05I4_1975363_h5,5,-1,-0.09,755,-6.88,1256,-1.0,-111.0,9.2,16.1
F15V3_323450_h5,5,-1,-0.42,235,-4.02,1408,-1.0,-73.0,2.9,18.1
F15I3_105887_h15,15,-1,-0.05,1734,-6.97,2465,-1.0,-220.0,21.1,31.6
F15I4_5308415_h5,5,1,-0.14,546,-4.1,748,-1.0,-39.0,6.7,9.6
M1B3_11503_h15,15,1,-0.18,557,-6.03,364,-1.0,-28.0,6.8,4.7
F15V4_13436921_h15,15,-1,-0.1,930,-3.29,1373,-1.0,-58.0,11.3,17.6
F15V4_26842313_h15,15,-1,-0.07,733,-6.55,1123,-1.0,-94.0,8.9,14.4
F05I3_105861_h15,15,-1,-0.04,1464,-3.12,2463,-1.0,-99.0,17.9,31.6
F15I3_104831_h15,15,-1,-0.08,879,-1.63,1367,-1.0,-29.0,10.7,17.5
F15V3_83966_h15,15,1,-0.16,619,-6.28,195,-1.0,-16.0,7.5,2.5
F05I4_5302559_h5,5,-1,-0.08,1036,-2.75,1747,-1.0,-62.0,12.6,22.4
F15I3_44735_h5,5,1,-0.17,360,-2.67,584,-1.0,-20.0,4.4,7.5
M1B4_165599_h15,15,1,-0.11,882,-2.65,1524,-1.0,-52.0,10.8,19.5
F05I3_37650_h5,5,1,-0.09,490,-1.68,1944,-1.0,-42.0,6.0,24.9
F05I3_109145_h2,2,-1,-0.12,742,-2.49,1191,-1.0,-38.0,9.0,15.3
F15V3_369353_h15,15,-1,-0.22,609,-0.09,343,-2.0,-0.0,7.4,4.4
F15V4_24414011_h5,5,-1,-0.33,506,-5.66,757,-2.0,-55.0,6.2,9.7
F05I3_96571_h15,15,-1,-0.13,1182,-5.36,1779,-2.0,-122.0,14.4,22.8
F15V4_26873807_h5,5,1,-0.27,705,-5.37,545,-2.0,-38.0,8.6,7.0
F15V3_149824_h5,5,1,-0.52,273,-2.4,573,-2.0,-18.0,3.3,7.3
F15V3_333856_h5,5,1,-0.67,297,-2.64,733,-2.0,-25.0,3.6,9.4
F15V4_13436879_h15,15,1,-0.22,651,-3.76,487,-2.0,-23.0,7.9,6.2
F15I4_4795457_h15,15,-1,-0.2,858,-1.83,1097,-2.0,-26.0,10.5,14.1
F15I4_1976609_h5,5,-1,-0.29,478,-9.94,670,-2.0,-85.0,5.8,8.6
F05I4_5087135_h5,5,-1,-0.12,1035,-1.33,1737,-2.0,-30.0,12.6,22.3
F05I4_5306975_h5,5,1,-0.22,676,-6.02,947,-2.0,-73.0,8.2,12.1
F15V3_341669_h30,30,-1,-0.06,2840,-4.98,3315,-2.0,-212.0,34.6,42.5
F15I4_5247263_h5,5,1,-0.36,527,-2.42,882,-2.0,-27.0,6.4,11.3
F05I3_105883_h5,5,-1,-0.28,686,-6.33,1191,-2.0,-97.0,8.4,15.3
F15I3_44831_h5,5,-1,-0.26,674,-5.18,964,-2.0,-64.0,8.2,12.4
F05I3_41469_h2,2,-1,-0.2,734,-6.32,1221,-2.0,-99.0,9.0,15.7
F05V4_13246847_h15,15,-1,-0.16,1020,-5.72,726,-2.0,-53.0,12.4,9.3
F15V3_3612_h5,5,1,-0.78,258,-3.49,577,-2.0,-26.0,3.1,7.4
F05I4_5303709_h2,2,-1,-0.31,610,-2.48,1200,-2.0,-38.0,7.4,15.4
F05V4_8895731_h15,15,1,-0.21,1145,-2.12,482,-3.0,-13.0,14.0,6.2
F15V4_26839727_h5,5,1,-0.47,495,0.05,666,-3.0,0.0,6.0,8.5
F05V3_154901_h2,2,1,-0.71,401,-2.0,1197,-3.0,-31.0,4.9,15.3
F15V3_369317_h15,15,1,-0.29,780,-2.79,424,-3.0,-15.0,9.5,5.4
F05V4_11101049_h15,15,1,-0.23,1092,-7.66,437,-3.0,-43.0,13.3,5.6
F15V3_74462_h5,5,1,-0.58,368,-4.79,1065,-3.0,-65.0,4.5,13.7
M1B3_3618_h30,30,1,-0.25,1030,-2.27,1452,-3.0,-42.0,12.6,18.6
F05I3_55265_h5,5,-1,-0.33,818,-2.61,1251,-3.0,-42.0,10.0,16.0
F05I3_109145_h5,5,-1,-0.42,719,-1.67,1157,-4.0,-25.0,8.8,14.8
F05I3_40017_h5,5,1,-0.33,1098,-2.6,944,-4.0,-31.0,13.4,12.1
F15I3_110567_h15,15,1,-0.29,1095,-5.19,1567,-4.0,-104.0,13.4,20.1
F05I3_48238_h5,5,1,-0.52,666,-1.9,2853,-4.0,-69.0,8.1,36.6
F05I4_4578883_h5,5,-1,-0.61,595,-7.71,988,-4.0,-98.0,7.3,12.7
F15V3_152927_h30,30,-1,-0.18,1990,-3.64,2447,-4.0,-114.0,24.3,31.4
F15V4_11163275_h5,5,-1,-0.53,604,-1.46,948,-4.0,-18.0,7.4,12.2
M1B4_130125_h15,15,-1,-0.49,711,-2.16,1138,-4.0,-32.0,8.7,14.6
F05I3_96569_h5,5,-1,-0.48,767,-2.35,1169,-4.0,-35.0,9.4,15.0
F05V4_10913573_h15,15,1,-0.23,1423,-1.47,653,-4.0,-12.0,17.4,8.4
F15V4_10977119_h15,15,-1,-0.22,1457,-5.19,2107,-4.0,-140.0,17.8,27.0
F05I3_31007_h15,15,1,-0.15,2150,-5.4,1929,-4.0,-134.0,26.2,24.7
F05V3_265637_h15,15,1,-0.37,879,-5.2,718,-4.0,-48.0,10.7,9.2
F15V3_338249_h15,15,-1,-0.32,958,-4.89,647,-4.0,-41.0,11.7,8.3
F05V3_149824_h5,5,1,-0.66,442,-2.76,903,-4.0,-32.0,5.4,11.6
F15V3_339119_h5,5,1,-0.19,1554,-1.71,2104,-4.0,-46.0,19.0,27.0
F05V4_11194379_h15,15,-1,-0.45,938,-9.73,1415,-5.0,-177.0,11.4,18.1
M1B3_13439_h15,15,-1,-0.59,727,1.52,676,-5.0,13.0,8.9,8.7
F15V4_13249439_h5,5,1,-0.79,485,0.49,342,-5.0,2.0,5.9,4.4
F15V4_11008187_h5,5,1,-0.5,796,-1.86,1234,-5.0,-29.0,9.7,15.8
F05I4_5087009_h2,2,1,-0.72,585,-3.73,907,-5.0,-43.0,7.1,11.6
F15V3_183155_h15,15,1,-0.34,1097,-3.83,543,-5.0,-27.0,13.4,7.0
F05I4_1981123_h2,2,-1,-0.71,569,-5.19,995,-5.0,-66.0,6.9,12.8
F05I4_5307143_h2,2,-1,-0.66,620,-2.29,1072,-5.0,-31.0,7.6,13.7
F05I3_41467_h15,15,-1,-0.28,1555,-5.1,2041,-5.0,-133.0,19.0,26.2
F15V4_26656127_h5,5,1,-0.69,578,-4.96,802,-5.0,-51.0,7.0,10.3
F05V4_10600732_h5,5,1,-1.01,414,1.4,883,-5.0,16.0,5.0,11.3
F15V3_89369_h30,30,1,-0.3,1378,-2.36,598,-5.0,-18.0,16.8,7.7
F15V3_90233_h30,30,1,-0.36,1213,-4.4,606,-5.0,-34.0,14.8,7.8
F05I4_4634203_h5,5,-1,-0.6,691,-3.27,1044,-5.0,-44.0,8.4,13.4
F05I4_1975459_h5,5,-1,-0.64,588,-7.65,1093,-5.0,-107.0,7.2,14.0
F05V4_24416633_h5,5,1,-0.65,688,-2.32,1141,-5.0,-34.0,8.4,14.6
F15V3_91961_h30,30,1,-0.3,1311,-6.53,530,-5.0,-44.0,16.0,6.8
M1B4_136749_h15,15,-1,-0.48,793,-4.79,1210,-5.0,-74.0,9.7,15.5
F15V3_178774_h5,5,1,-0.95,389,-2.81,980,-5.0,-35.0,4.7,12.6
F05I3_45787_h5,5,-1,-0.35,1096,-5.14,1848,-5.0,-122.0,13.4,23.7
F05V4_24602825_h15,15,-1,-0.33,1224,-4.06,1771,-5.0,-92.0,14.9,22.7
F15I4_1979995_h5,5,1,-0.66,646,-4.85,812,-5.0,-50.0,7.9,10.4
M1B3_5471_h15,15,-1,-0.51,1037,-3.27,1552,-6.0,-65.0,12.6,19.9
F05I4_5087109_h2,2,-1,-0.83,549,-1.08,1041,-6.0,-14.0,6.7,13.3
F15V3_121787_h15,15,1,-0.58,802,-5.02,541,-6.0,-35.0,9.8,6.9
F05I3_55199_h15,15,-1,-0.25,2033,-6.48,2960,-6.0,-246.0,24.8,37.9
F05I3_55197_h15,15,-1,-0.36,1382,-9.17,2254,-6.0,-265.0,16.9,28.9
F05V3_134798_h5,5,1,-1.05,496,-3.84,1485,-6.0,-73.0,6.0,19.0
F05V3_152445_h5,5,1,-0.84,610,-5.78,836,-6.0,-62.0,7.4,10.7
F05V3_113183_h15,15,-1,-0.57,809,-1.82,768,-6.0,-18.0,9.9,9.8
M1B3_3890_h15,15,1,-0.61,766,-2.89,804,-6.0,-30.0,9.3,10.3
F05I3_44731_h15,15,1,-0.31,1539,1.47,2395,-6.0,45.0,18.8,30.7
F05I4_4634203_h2,2,-1,-0.64,707,-2.52,1081,-6.0,-35.0,8.6,13.9
F05I3_95417_h5,5,-1,-0.72,669,-4.87,1162,-6.0,-73.0,8.2,14.9
F05I3_110491_h5,5,1,-0.53,901,-6.39,1448,-6.0,-119.0,11.0,18.6
F15V3_336412_h5,5,1,-1.02,476,-0.32,1178,-6.0,-5.0,5.8,15.1
F15V4_10979273_h30,30,-1,-0.32,1410,-7.48,1958,-6.0,-188.0,17.2,25.1
F05I3_104805_h5,5,-1,-0.43,1145,-5.53,2023,-6.0,-143.0,14.0,25.9
F05I3_55175_h5,5,-1,-0.71,683,-5.72,1148,-6.0,-84.0,8.3,14.7
F05I4_1920069_h2,2,1,-0.62,787,-3.88,1167,-6.0,-58.0,9.6,15.0
F05V4_13249439_h15,15,1,-0.44,1072,-3.81,762,-6.0,-37.0,13.1,9.8
F05I3_54023_h5,5,1,-0.71,798,-5.08,1345,-7.0,-88.0,9.7,17.2
F15I4_1924769_h5,5,-1,-0.93,610,-3.82,873,-7.0,-43.0,7.4,11.2
F05V3_295256_h2,2,1,-1.52,380,-3.45,1215,-7.0,-54.0,4.6,15.6
F05I3_40199_h5,5,1,-0.56,960,-4.55,1414,-7.0,-82.0,11.7,18.1
F15I4_4800163_h5,5,1,-0.82,703,-2.96,1211,-7.0,-46.0,8.6,15.5
F05I3_98802_h2,2,1,-1.13,512,-3.07,1857,-7.0,-73.0,6.2,23.8
F15V4_11010773_h5,5,-1,-1.21,477,-2.24,724,-7.0,-21.0,5.8,9.3
F05I3_110565_h15,15,-1,-0.19,3031,-2.44,4179,-7.0,-131.0,37.0,53.6
F05I4_2431751_h2,2,-1,-0.95,587,-4.61,989,-7.0,-58.0,7.2,12.7
F05V3_297071_h5,5,-1,-0.89,668,-2.96,935,-7.0,-35.0,8.1,12.0
F05V3_360287_h5,5,-1,-1.16,481,-4.65,1532,-7.0,-91.0,5.9,19.6
F05I4_5248413_h5,5,-1,-0.52,1118,-2.96,2000,-7.0,-76.0,13.6,25.6
F05I3_96475_h2,2,-1,-0.61,982,-2.58,1615,-7.0,-53.0,12.0,20.7
F15V4_26870399_h15,15,1,-0.64,842,-7.43,659,-7.0,-63.0,10.3,8.4
F15I3_110563_h5,5,1,-0.85,809,-4.03,990,-8.0,-51.0,9.9,12.7
F15I3_50679_h5,5,1,-0.84,739,-7.36,502,-8.0,-47.0,9.0,6.4
F05I3_105573_h5,5,1,-0.83,823,-4.16,729,-8.0,-39.0,10.0,9.3
F15V4_24412745_h5,5,-1,-1.18,556,-4.73,330,-8.0,-20.0,6.8,4.2
F05V4_12871798_h2,2,-1,-1.31,475,-5.64,1141,-8.0,-83.0,5.8,14.6
F05V4_8706527_h15,15,1,-0.59,1060,-6.8,532,-8.0,-46.0,12.9,6.8
F05I4_2594301_h2,2,-1,-0.87,707,-5.04,1178,-8.0,-76.0,8.6,15.1
F15V3_372809_h30,30,-1,-0.4,1543,-6.8,2021,-8.0,-176.0,18.8,25.9
F15V4_10979711_h5,5,-1,-0.74,853,-2.59,1290,-8.0,-43.0,10.4,16.5
F05I4_2648351_h2,2,1,-1.25,539,-1.11,962,-8.0,-14.0,6.6,12.3
F05I3_105953_h15,15,-1,-0.42,1505,-4.81,2335,-8.0,-144.0,18.4,29.9
F05I3_45761_h15,15,-1,-0.4,1646,-3.04,2471,-8.0,-96.0,20.1,31.7
F05I4_2427263_h2,2,1,-1.25,529,-4.05,958,-8.0,-50.0,6.5,12.3
F15V4_24412709_h15,15,1,-0.72,982,-4.17,608,-9.0,-33.0,12.0,7.8
F05I4_5307261_h2,2,-1,-1.24,596,-4.83,1015,-9.0,-63.0,7.3,13.0
F05V4_8709071_h15,15,1,-0.61,1149,-3.57,425,-9.0,-19.0,14.0,5.4
F05I4_5085981_h5,5,-1,-0.86,873,-4.96,1705,-9.0,-108.0,10.6,21.9
F05I4_2373119_h15,15,-1,-0.44,1642,-3.96,2378,-9.0,-121.0,20.0,30.5
F05I3_97650_h2,2,1,-1.17,644,-2.63,2163,-9.0,-73.0,7.9,27.7
F05I3_45785_h2,2,1,-1.22,624,-3.57,1164,-9.0,-53.0,7.6,14.9
F05V4_8771291_h15,15,1,-0.66,1103,-1.15,747,-9.0,-11.0,13.5,9.6
F05I4_5085981_h2,2,-1,-0.82,907,-4.09,1820,-9.0,-95.0,11.1,23.3
F05V4_6435449_h15,15,1,-0.6,1215,-3.98,467,-9.0,-24.0,14.8,6.0
F05V3_62222_h15,15,1,-0.79,903,-1.68,1837,-9.0,-40.0,11.0,23.6
F15V4_6684329_h5,5,-1,-1.31,543,-3.2,330,-9.0,-14.0,6.6,4.2
F05V4_26687219_h15,15,1,-0.45,1565,-1.78,1031,-9.0,-24.0,19.1,13.2
F05I4_5297755_h2,2,1,-1.22,627,0.08,921,-9.0,1.0,7.6,11.8
F15I4_2433023_h5,5,1,-0.88,804,-1.45,1169,-9.0,-22.0,9.8,15.0
F15I4_2145953_h5,5,1,-0.94,744,-3.69,1175,-9.0,-56.0,9.1,15.1
F05V3_186621_h2,2,1,-1.5,498,-4.23,1608,-9.0,-87.0,6.1,20.6
F15V3_32564_h5,5,1,-1.47,497,-3.0,712,-9.0,-27.0,6.1,9.1
F05V4_10598140_h2,2,1,-1.49,571,-0.1,1349,-10.0,-2.0,7.0,17.3
F05I4_2432925_h5,5,-1,-0.84,952,-3.7,1793,-10.0,-85.0,11.6,23.0
F15V4_13436921_h5,5,-1,-0.77,1056,-2.59,1569,-10.0,-52.0,12.9,20.1
F05I4_2593055_h2,2,1,-1.21,646,-1.36,1099,-10.0,-19.0,7.9,14.1
F05I4_4635425_h2,2,-1,-1.37,603,-5.19,946,-10.0,-63.0,7.4,12.1
F05I4_5027229_h2,2,-1,-1.11,774,-2.96,1521,-10.0,-58.0,9.4,19.5
F15I3_44705_h15,15,-1,-0.41,2095,-6.5,2876,-10.0,-240.0,25.5,36.9
F05I4_5082527_h5,5,-1,-0.85,956,-2.96,1886,-10.0,-72.0,11.7,24.2
F05V3_323452_h2,2,-1,-1.75,489,-5.4,2131,-10.0,-148.0,6.0,27.3
