name,family,tf,trades,trades_wk,sel_usd_wk,blind_usd_wk,sel_total,blind_total,win_pct
ENGX_5min_trail3.5h0_rth,ENGX,5min,761,4.9,-83.6,30.6,-6688.0,2328.0,38.0
ENGX_5min_trail3.5h12_all,ENGX,5min,2374,15.2,-56.2,-59.1,-4495.0,-4496.0,18.1
ENGX_5min_trail3.5h12_rth,ENGX,5min,894,5.7,-12.6,-9.0,-1005.0,-686.0,14.2
SEASMF_5min_time20h0_all,SEASMF,5min,287,1.8,1.1,-31.1,87.0,-2370.0,50.5
SEASMF_5min_time20h0_rth,SEASMF,5min,287,1.8,1.1,-31.1,87.0,-2370.0,50.5
SEASMF_5min_time20h12_all,SEASMF,5min,398,2.5,5.7,-36.9,456.0,-2813.0,15.3
SEASMF_5min_time20h12_rth,SEASMF,5min,398,2.5,5.7,-36.9,456.0,-2813.0,15.3
SEASMF_5min_time60h0_all,SEASMF,5min,287,1.8,-8.6,8.4,-689.0,637.0,43.2
SEASMF_5min_time60h0_rth,SEASMF,5min,287,1.8,-8.6,8.4,-689.0,637.0,43.2
SEASMF_5min_time60h12_all,SEASMF,5min,398,2.5,-7.2,-33.2,-578.0,-2527.0,8.0
SEASMF_5min_time60h12_rth,SEASMF,5min,398,2.5,-7.2,-33.2,-578.0,-2527.0,8.0
SEASMF_5min_time120h0_all,SEASMF,5min,287,1.8,-7.1,-12.4,-566.0,-943.0,44.6
SEASMF_5min_time120h0_rth,SEASMF,5min,287,1.8,-7.1,-12.4,-566.0,-943.0,44.6
SEASMF_5min_time120h12_all,SEASMF,5min,398,2.5,-10.2,-40.2,-816.0,-3064.0,7.0
SEASMF_5min_time120h12_rth,SEASMF,5min,398,2.5,-10.2,-40.2,-816.0,-3064.0,7.0
SEASMF_5min_trail2.0h0_all,SEASMF,5min,293,1.9,1.9,-63.3,154.0,-4818.0,32.1
SEASMF_5min_trail2.0h0_rth,SEASMF,5min,293,1.9,1.9,-63.3,154.0,-4818.0,32.1
SEASMF_5min_trail2.0h12_all,SEASMF,5min,400,2.6,-2.8,-42.9,-221.0,-3268.0,16.2
