n,tr_day,wr,per_day,per_trade,maxDD,sharpe,worst_q,n_folds,pos_folds,name,fam
146133,155.8,40.4,-434.5,-2.79,407947.0,-16.09,-743.1,13,0,MOM_imp5w5_s10.0t15.0,imp
126322,134.7,35.1,-390.3,-2.9,367243.0,-14.45,-684.7,13,0,MOM_imp5w5_s10.0t25.0,imp
114951,122.5,33.3,-356.4,-2.91,334651.0,-13.31,-631.1,13,0,MOM_imp5w5_s10.0t40.0,imp
125913,134.2,47.5,-318.3,-2.37,299377.0,-12.84,-601.7,13,0,MOM_imp5w5_s15.0t15.0,imp
108400,115.6,41.9,-272.1,-2.35,256054.0,-10.8,-548.2,13,0,MOM_imp5w5_s15.0t25.0,imp
98642,105.2,39.5,-260.4,-2.48,245144.0,-10.11,-486.6,13,0,MOM_imp5w5_s15.0t40.0,imp
114575,122.1,51.1,-258.9,-2.12,243888.0,-10.65,-483.6,13,0,MOM_imp5w5_s20.0t15.0,imp
98979,105.5,45.1,-229.6,-2.18,215982.0,-9.1,-434.1,13,0,MOM_imp5w5_s20.0t25.0,imp
90344,96.3,42.7,-215.0,-2.23,202195.0,-8.37,-415.7,13,0,MOM_imp5w5_s20.0t40.0,imp
114533,122.2,39.7,-374.7,-3.07,351193.0,-14.33,-729.2,13,0,MOM_imp8w3_s10.0t15.0,imp
98598,105.2,33.5,-327.5,-3.11,307006.0,-12.83,-603.2,13,0,MOM_imp8w3_s10.0t25.0,imp
88800,94.8,31.2,-299.4,-3.16,281274.0,-11.33,-602.5,13,0,MOM_imp8w3_s10.0t40.0,imp
99788,106.5,47.7,-283.2,-2.66,265509.0,-11.27,-573.9,13,0,MOM_imp8w3_s15.0t15.0,imp
85085,90.8,40.9,-250.9,-2.76,235421.0,-10.26,-471.5,13,0,MOM_imp8w3_s15.0t25.0,imp
76169,81.3,38.3,-223.7,-2.75,210185.0,-8.53,-473.7,13,0,MOM_imp8w3_s15.0t40.0,imp
90319,96.4,52.1,-232.6,-2.41,218426.0,-9.46,-492.7,13,0,MOM_imp8w3_s20.0t15.0,imp
76871,82.0,45.1,-203.3,-2.48,191455.0,-7.84,-418.4,13,0,MOM_imp8w3_s20.0t25.0,imp
69109,73.8,42.2,-174.9,-2.37,164842.0,-6.43,-399.8,13,0,MOM_imp8w3_s20.0t40.0,imp
124651,133.0,39.8,-399.9,-3.01,375000.0,-14.97,-714.3,13,0,MOM_imp8w5_s10.0t15.0,imp
107157,114.4,34.0,-346.5,-3.03,324935.0,-13.21,-643.2,13,0,MOM_imp8w5_s10.0t25.0,imp
96620,103.1,31.7,-324.4,-3.15,304248.0,-11.86,-598.0,13,0,MOM_imp8w5_s10.0t40.0,imp
108277,115.6,47.7,-295.9,-2.56,277911.0,-11.85,-565.2,13,0,MOM_imp8w5_s15.0t15.0,imp
92286,98.5,41.2,-254.6,-2.59,238808.0,-10.24,-514.5,13,0,MOM_imp8w5_s15.0t25.0,imp
83024,88.6,38.6,-238.7,-2.69,224188.0,-9.23,-436.2,13,0,MOM_imp8w5_s15.0t40.0,imp
98247,104.9,51.8,-241.8,-2.31,227285.0,-9.74,-454.9,13,0,MOM_imp8w5_s20.0t15.0,imp
83773,89.4,45.0,-223.9,-2.5,210249.0,-8.89,-478.8,13,0,MOM_imp8w5_s20.0t25.0,imp
75509,80.6,42.3,-195.9,-2.43,184095.0,-7.62,-410.7,13,0,MOM_imp8w5_s20.0t40.0,imp
83321,90.3,39.1,-289.1,-3.2,267182.0,-12.43,-566.4,13,0,MOM_imp12w3_s10.0t15.0,imp
72961,79.0,31.6,-266.1,-3.37,245842.0,-11.4,-556.9,13,0,MOM_imp12w3_s10.0t25.0,imp
65356,70.8,28.6,-236.0,-3.33,218605.0,-10.09,-477.5,13,0,MOM_imp12w3_s10.0t40.0,imp
75160,81.4,47.9,-234.7,-2.88,216815.0,-10.27,-487.8,13,0,MOM_imp12w3_s15.0t15.0,imp
64327,69.7,40.1,-200.6,-2.88,185607.0,-8.71,-446.5,13,0,MOM_imp12w3_s15.0t25.0,imp
