name,mode,imp,W,stop,tgt,htf,n,tr_day,wr,per_day,per_trade,maxDD,sharpe
MOM_i3.0_w3_s8.0_t20.0_htf30,momentum,3.0,3,8.0,20.0,30,10252,148.6,31.1,-530.3,-3.57,36835.0,-20.52
MOM_i3.0_w3_s8.0_t20.0_htf60,momentum,3.0,3,8.0,20.0,60,9873,143.1,31.3,-510.3,-3.57,35230.0,-20.49
MOM_i3.0_w3_s8.0_t35.0_htf0,momentum,3.0,3,8.0,35.0,0,11730,170.0,27.4,-635.4,-3.74,45322.0,-16.88
MOM_i3.0_w3_s8.0_t35.0_htf30,momentum,3.0,3,8.0,35.0,30,9190,133.2,27.8,-484.3,-3.64,34024.0,-17.35
MOM_i3.0_w3_s8.0_t35.0_htf60,momentum,3.0,3,8.0,35.0,60,8833,128.0,28.2,-456.5,-3.57,31952.0,-17.52
MOM_i3.0_w3_s8.0_t50.0_htf0,momentum,3.0,3,8.0,50.0,0,11222,162.6,26.5,-647.9,-3.98,45928.0,-17.18
MOM_i3.0_w3_s8.0_t50.0_htf30,momentum,3.0,3,8.0,50.0,30,8862,128.4,27.1,-473.0,-3.68,33566.0,-16.77
MOM_i3.0_w3_s8.0_t50.0_htf60,momentum,3.0,3,8.0,50.0,60,8500,123.2,27.7,-429.2,-3.48,30420.0,-16.71
MOM_i3.0_w3_s12.0_t12.0_htf0,momentum,3.0,3,12.0,12.0,0,13278,192.4,46.0,-692.5,-3.6,47907.0,-19.26
MOM_i3.0_w3_s12.0_t12.0_htf30,momentum,3.0,3,12.0,12.0,30,10449,151.4,45.8,-528.4,-3.49,36502.0,-20.77
MOM_i3.0_w3_s12.0_t12.0_htf60,momentum,3.0,3,12.0,12.0,60,10031,145.4,46.2,-499.0,-3.43,34462.0,-19.53
MOM_i3.0_w3_s12.0_t20.0_htf0,momentum,3.0,3,12.0,20.0,0,11324,164.1,38.5,-593.1,-3.61,41336.0,-17.74
MOM_i3.0_w3_s12.0_t20.0_htf30,momentum,3.0,3,12.0,20.0,30,8999,130.4,39.1,-417.6,-3.2,28893.0,-16.87
MOM_i3.0_w3_s12.0_t20.0_htf60,momentum,3.0,3,12.0,20.0,60,8705,126.2,39.5,-405.8,-3.22,28085.0,-18.2
