name,sel_usd_wk,sel_tr_wk,sel_per,sel_pos,bl_usd_wk,bl_tr_wk,bl_per,bl_worst,bl_pos
MOMF_k5_a3.0_rth_t15_s0,-5.0,28.0,-0.16,44,-133.0,30.0,-4.42,-1174.0,25
RSI2R_rth_t5_s0,-7.0,209.1,-0.03,56,-608.0,209.5,-2.9,-1186.0,25
VSPKF_rth_t15_s0,-9.0,20.1,-0.47,44,308.0,13.2,23.27,-418.0,50
Z60R_rth_t15_s0,-10.0,64.6,-0.15,56,451.0,64.5,6.99,-1132.0,50
DON60F_rth_t30_s0,-13.0,35.6,-0.36,44,-395.0,34.5,-11.46,-1930.0,50
MOMF_k5_a3.0_all_t30_s0,-13.0,89.3,-0.15,44,-747.0,61.7,-12.11,-2477.0,33
PDHR_all_t15_s0,-13.0,35.4,-0.37,33,-802.0,22.0,-36.48,-1992.0,17
PDHR_rth_t15_s15,-16.0,20.2,-0.8,33,70.0,16.2,4.32,-294.0,75
PDHF_rth_t60_s15,-19.0,16.7,-1.16,44,214.0,13.0,16.44,-109.0,50
PDHF_rth_t30_s15,-22.0,17.1,-1.28,56,176.0,13.0,13.56,-84.0,75
PDHF_rth_t5_s15,-22.0,18.2,-1.18,33,224.0,13.8,16.33,-173.0,75
MOMR_k3_a3.0_rth_t30_s0,-24.0,14.3,-1.69,44,-326.0,13.2,-24.57,-1352.0,25
PDHF_rth_t5_s0,-25.0,15.3,-1.61,33,30.0,12.2,2.41,-445.0,50
ORB30_all_t60_s0,-27.0,13.6,-1.97,33,-194.0,11.0,-17.67,-1071.0,25
MOMF_k15_a1.5_rth_t60_s0,-30.0,34.9,-0.86,56,-411.0,32.8,-12.55,-2784.0,25
Z60R_rth_t60_s15,-30.0,82.9,-0.36,33,-752.0,115.5,-6.51,-2256.0,25
MOMR_k5_a3.0_rth_t60_s0,-32.0,18.4,-1.71,56,-388.0,18.2,-21.25,-1304.0,25
VSPKR_rth_t5_s0,-34.0,23.8,-1.43,44,-157.0,16.2,-9.67,-710.0,50
NTBF_all_t15_s0,-35.0,82.8,-0.43,44,-327.0,41.8,-7.81,-1479.0,33
NTBF_rth_t15_s15,-36.0,25.9,-1.39,44,-98.0,20.2,-4.83,-264.0,25
DON20R_rth_t60_s0,-37.0,30.3,-1.23,44,-560.0,28.5,-19.66,-2484.0,50
MOMR_k3_a3.0_rth_t60_s15,-37.0,21.3,-1.73,56,-2.0,20.5,-0.09,-192.0,50
MOMR_k3_a1.5_rth_t60_s0,-40.0,31.7,-1.27,67,151.0,30.5,4.94,-142.0,50
PDHR_rth_t60_s0,-43.0,7.7,-5.61,56,292.0,5.2,55.6,-227.0,75
MOMR_k3_a3.0_rth_t5_s15,-45.0,23.7,-1.91,33,9.0,20.8,0.45,-156.0,75
PDHR_rth_t5_s15,-46.0,24.1,-1.91,44,115.0,18.2,6.3,-182.0,75
Z60R_rth_t30_s0,-47.0,41.9,-1.11,33,140.0,42.2,3.31,-1281.0,75
MOMF_k3_a3.0_rth_t30_s0,-47.0,14.3,-3.31,56,259.0,13.2,19.57,-206.0,50
PDHF_all_t60_s15,-52.0,35.4,-1.47,44,-320.0,24.5,-13.08,-2024.0,33
ORB15_all_t30_s15,-52.0,35.2,-1.47,67,-346.0,36.0,-9.61,-665.0,0
MOMR_k30_a3.0_rth_t60_s0,-54.0,31.6,-1.73,44,-1278.0,30.5,-41.91,-2473.0,25
MOMF_k5_a3.0_rth_t5_s0,-55.0,33.1,-1.65,67,245.0,34.5,7.11,-262.0,50
ORB30_rth_t60_s0,-55.0,12.1,-4.57,44,-150.0,9.0,-16.72,-1232.0,25
PDHR_rth_t30_s15,-57.0,21.0,-2.69,38,54.0,15.0,3.62,-372.0,50
MOMR_k3_a3.0_rth_t15_s15,-58.0,23.7,-2.45,33,-148.0,20.5,-7.24,-762.0,50
MOMR_k3_a1.5_rth_t30_s0,-60.0,53.1,-1.13,44,-771.0,51.8,-14.89,-2208.0,25
BBR_rth_t5_s0,-61.0,64.0,-0.95,33,-881.0,61.2,-14.38,-2457.0,0
MOMF_k5_a3.0_rth_t60_s0,-61.0,18.4,-3.29,44,297.0,18.2,16.25,-386.0,75
MOMR_k30_a3.0_all_t60_s0,-61.0,96.2,-0.64,44,-483.0,66.2,-7.3,-4480.0,33
ORB15_all_t60_s15,-62.0,34.6,-1.79,33,-144.0,35.8,-4.02,-596.0,50
BBR_rth_t15_s0,-65.0,52.3,-1.24,44,-25.0,50.5,-0.5,-1044.0,50
MOMR_k15_a3.0_rth_t60_s0,-67.0,28.3,-2.36,44,-1207.0,28.2,-42.73,-2731.0,25
DON20R_rth_t15_s0,-72.0,76.4,-0.94,22,897.0,76.2,11.77,-912.0,75
NTBF_rth_t5_s0,-74.0,21.8,-3.42,44,76.0,14.0,5.41,-415.0,50
PDHR_all_t5_s15,-75.0,58.4,-1.28,44,-333.0,36.8,-9.03,-1992.0,33
MOMF_k15_a3.0_rth_t60_s0,-75.0,28.3,-2.64,56,1066.0,28.2,37.73,-1180.0,75
VSPKF_rth_t15_s15,-76.0,27.8,-2.72,33,-121.0,22.2,-5.43,-393.0,25
PDHR_rth_t60_s15,-77.0,17.8,-4.35,44,78.0,14.8,5.31,-422.0,75
NTBF_all_t15_s15,-79.0,98.7,-0.8,44,-637.0,54.5,-11.69,-1479.0,0
MOMR_k15_a3.0_rth_t30_s0,-82.0,45.8,-1.8,44,-438.0,45.2,-9.69,-1706.0,50
VSPKF_rth_t5_s0,-85.0,23.8,-3.57,44,76.0,16.2,4.67,-382.0,50
NTBF_rth_t60_s0,-91.0,15.6,-5.82,33,403.0,10.8,37.52,-746.0,75
