per_day,total,sharpe,maxDD,pos_yrs,n_yrs,n,worst_yr,tf,combo,logic,sess,exit
17.0,13153.0,0.99,4367.0,3,4,1387,-473.0,3min,"donch(6,)&mom(3, 0.001)",or,morning,trail0/0/5.0
44.8,34633.0,1.94,3691.0,4,4,773,699.0,3min,"donch(6,)&mom(5, 0.001)",and,rth,eod0/0/0
-66.7,-51707.0,-8.33,51893.0,0,4,14305,-19563.0,3min,"donch(6,)&mom(5, 0.001)",and,rth,st10/20/0
-47.3,-36692.0,-5.08,37310.0,0,4,11523,-14033.0,3min,"donch(6,)&mom(5, 0.001)",and,rth,st10/40/0
-39.6,-30767.0,-3.64,31253.0,0,4,10123,-13616.0,3min,"donch(6,)&mom(5, 0.001)",and,rth,st10/60/0
-65.9,-51244.0,-6.23,51193.0,0,4,13204,-22448.0,3min,"donch(6,)&mom(5, 0.001)",and,rth,st20/20/0
-39.8,-30849.0,-3.22,31303.0,0,4,9677,-12468.0,3min,"donch(6,)&mom(5, 0.001)",and,rth,st20/40/0
-32.2,-25064.0,-2.38,25021.0,0,4,8012,-10511.0,3min,"donch(6,)&mom(5, 0.001)",and,rth,st20/60/0
-56.5,-43983.0,-4.46,44606.0,0,4,12353,-22754.0,3min,"donch(6,)&mom(5, 0.001)",and,rth,st30/20/0
-27.9,-21685.0,-1.92,22899.0,0,4,8583,-11328.0,3min,"donch(6,)&mom(5, 0.001)",and,rth,st30/40/0
-19.8,-15431.0,-1.31,15966.0,0,4,6801,-8255.0,3min,"donch(6,)&mom(5, 0.001)",and,rth,st30/60/0
-90.6,-70365.0,-4.9,70718.0,0,4,7140,-28191.0,3min,"donch(6,)&mom(5, 0.001)",and,rth,trail0/0/2.0
-27.9,-21735.0,-1.39,23979.0,0,4,4314,-8896.0,3min,"donch(6,)&mom(5, 0.001)",and,rth,trail0/0/3.0
12.6,9800.0,0.54,6821.0,3,4,2187,-1499.0,3min,"donch(6,)&mom(5, 0.001)",and,rth,trail0/0/5.0
27.0,20906.0,1.58,3727.0,4,4,773,159.0,3min,"donch(6,)&mom(5, 0.001)",and,morning,eod0/0/0
-35.8,-27658.0,-6.54,27928.0,0,4,7719,-9866.0,3min,"donch(6,)&mom(5, 0.001)",and,morning,st10/20/0
-24.3,-18779.0,-3.62,19388.0,0,4,6277,-7093.0,3min,"donch(6,)&mom(5, 0.001)",and,morning,st10/40/0
-20.8,-16097.0,-2.61,16615.0,0,4,5612,-6622.0,3min,"donch(6,)&mom(5, 0.001)",and,morning,st10/60/0
-37.3,-28838.0,-5.02,29085.0,0,4,7179,-12783.0,3min,"donch(6,)&mom(5, 0.001)",and,morning,st20/20/0
-19.1,-14758.0,-2.15,15194.0,0,4,5362,-7244.0,3min,"donch(6,)&mom(5, 0.001)",and,morning,st20/40/0
-18.7,-14454.0,-1.88,14950.0,0,4,4544,-7633.0,3min,"donch(6,)&mom(5, 0.001)",and,morning,st20/60/0
-31.1,-24056.0,-3.52,24857.0,0,4,6810,-12695.0,3min,"donch(6,)&mom(5, 0.001)",and,morning,st30/20/0
-14.6,-11297.0,-1.39,12637.0,1,4,4827,-6981.0,3min,"donch(6,)&mom(5, 0.001)",and,morning,st30/40/0
-13.8,-10714.0,-1.24,11572.0,0,4,3960,-6133.0,3min,"donch(6,)&mom(5, 0.001)",and,morning,st30/60/0
-46.8,-36230.0,-3.1,37573.0,0,4,3674,-17402.0,3min,"donch(6,)&mom(5, 0.001)",and,morning,trail0/0/2.0
-3.0,-2358.0,-0.2,9464.0,1,4,2327,-2354.0,3min,"donch(6,)&mom(5, 0.001)",and,morning,trail0/0/3.0
21.6,16713.0,1.27,3472.0,4,4,1324,390.0,3min,"donch(6,)&mom(5, 0.001)",and,morning,trail0/0/5.0
32.6,25271.0,1.38,7881.0,4,4,774,2056.0,3min,"donch(6,)&mom(5, 0.001)",or,rth,eod0/0/0
-151.1,-117589.0,-10.17,117471.0,0,4,30534,-49164.0,3min,"donch(6,)&mom(5, 0.001)",or,rth,st10/20/0
-87.4,-68079.0,-6.14,68174.0,0,4,22857,-25770.0,3min,"donch(6,)&mom(5, 0.001)",or,rth,st10/40/0
-66.8,-52100.0,-4.54,52241.0,0,4,18756,-18981.0,3min,"donch(6,)&mom(5, 0.001)",or,rth,st10/60/0
-131.7,-102720.0,-7.15,102714.0,0,4,24542,-48917.0,3min,"donch(6,)&mom(5, 0.001)",or,rth,st20/20/0
-67.0,-52173.0,-3.94,52600.0,0,4,16733,-23416.0,3min,"donch(6,)&mom(5, 0.001)",or,rth,st20/40/0
-45.4,-35344.0,-2.64,35106.0,0,4,13020,-14000.0,3min,"donch(6,)&mom(5, 0.001)",or,rth,st20/60/0
-108.4,-84518.0,-5.3,84390.0,0,4,20702,-41636.0,3min,"donch(6,)&mom(5, 0.001)",or,rth,st30/20/0
-48.2,-37531.0,-2.59,38504.0,0,4,13393,-17769.0,3min,"donch(6,)&mom(5, 0.001)",or,rth,st30/40/0
-33.2,-25850.0,-1.77,26313.0,0,4,10076,-10977.0,3min,"donch(6,)&mom(5, 0.001)",or,rth,st30/60/0
-106.2,-82826.0,-5.76,82656.0,0,4,9355,-31305.0,3min,"donch(6,)&mom(5, 0.001)",or,rth,trail0/0/2.0
-36.5,-28495.0,-1.79,28591.0,0,4,4895,-10491.0,3min,"donch(6,)&mom(5, 0.001)",or,rth,trail0/0/3.0
8.1,6267.0,0.34,7205.0,3,4,2343,-2051.0,3min,"donch(6,)&mom(5, 0.001)",or,rth,trail0/0/5.0
16.1,12492.0,0.91,6083.0,3,4,774,-1253.0,3min,"donch(6,)&mom(5, 0.001)",or,morning,eod0/0/0
-85.8,-66418.0,-8.94,66305.0,0,4,17024,-28051.0,3min,"donch(6,)&mom(5, 0.001)",or,morning,st10/20/0
-43.8,-33951.0,-4.33,34101.0,0,4,12943,-13149.0,3min,"donch(6,)&mom(5, 0.001)",or,morning,st10/40/0
-32.6,-25271.0,-2.9,25635.0,0,4,10695,-10261.0,3min,"donch(6,)&mom(5, 0.001)",or,morning,st10/60/0
-78.1,-60531.0,-6.24,60589.0,0,4,13850,-29706.0,3min,"donch(6,)&mom(5, 0.001)",or,morning,st20/20/0
-32.1,-24870.0,-2.59,25707.0,0,4,9604,-14000.0,3min,"donch(6,)&mom(5, 0.001)",or,morning,st20/40/0
-21.7,-16814.0,-1.66,16900.0,0,4,7561,-8022.0,3min,"donch(6,)&mom(5, 0.001)",or,morning,st20/60/0
-62.8,-48646.0,-4.59,48877.0,0,4,11788,-24282.0,3min,"donch(6,)&mom(5, 0.001)",or,morning,st30/20/0
-21.4,-16592.0,-1.6,17293.0,1,4,7800,-9696.0,3min,"donch(6,)&mom(5, 0.001)",or,morning,st30/40/0
-14.7,-11425.0,-1.07,11525.0,0,4,5992,-5706.0,3min,"donch(6,)&mom(5, 0.001)",or,morning,st30/60/0
-52.8,-40902.0,-3.61,41460.0,0,4,4740,-19029.0,3min,"donch(6,)&mom(5, 0.001)",or,morning,trail0/0/2.0
-7.4,-5708.0,-0.46,11012.0,1,4,2579,-3604.0,3min,"donch(6,)&mom(5, 0.001)",or,morning,trail0/0/3.0
