name,tf,net_wk,fees_wk,gross_wk,trades,trades_wk,sel_usd_wk,blind_usd_wk,sel_total,blind_total,win_pct
ONRF_3min_trail2.0_all,3min,-582.2,91.1,-491.1,7253,46.5,-511.0,-656.8,-40876.0,-50007.0,32.5
ONRF_3min_trail2.0_rth,3min,-582.2,91.1,-491.1,7253,46.5,-511.0,-656.8,-40876.0,-50007.0,32.5
F15_3min_time5_all,3min,-73.4,164.1,90.7,13066,83.7,-95.5,-50.1,-7637.0,-3817.0,48.5
F15_3min_time5_rth,3min,-73.4,164.1,90.7,13066,83.7,-95.5,-50.1,-7637.0,-3817.0,48.5
F15_3min_time15_all,3min,30.9,74.5,105.4,5929,38.0,52.2,8.4,4178.0,640.0,50.5
F15_3min_time15_rth,3min,30.9,74.5,105.4,5929,38.0,52.2,8.4,4178.0,640.0,50.5
F15_3min_time40_all,3min,71.8,35.1,106.9,2788,17.9,107.6,34.2,8604.0,2601.0,50.9
F15_3min_time40_rth,3min,71.8,35.1,106.9,2788,17.9,107.6,34.2,8604.0,2601.0,50.9
F15_3min_trail2.0_all,3min,-415.6,107.0,-308.6,8521,54.6,-363.7,-469.9,-29095.0,-35778.0,34.7
F15_3min_trail2.0_rth,3min,-415.6,107.0,-308.6,8521,54.6,-363.7,-469.9,-29095.0,-35778.0,34.7
MPB2_3min_time5_all,3min,-123.4,186.2,62.8,14832,95.0,-116.0,-131.0,-9283.0,-9978.0,48.1
MPB2_3min_time5_rth,3min,-61.1,78.8,17.7,6275,40.2,-52.4,-70.2,-4194.0,-5347.0,49.2
MPB2_3min_time15_all,3min,10.9,129.8,140.7,10335,66.2,-61.6,87.1,-4925.0,6631.0,48.4
MPB2_3min_time15_rth,3min,8.1,53.3,61.4,4248,27.2,23.6,-8.1,1887.0,-617.0,48.5
MPB2_3min_time40_all,3min,-96.5,71.7,-24.8,5711,36.6,-61.8,-132.9,-4941.0,-10116.0,47.9
MPB2_3min_time40_rth,3min,-27.0,29.0,2.0,2306,14.8,22.2,-78.8,1778.0,-5997.0,49.6
MPB2_3min_trail2.0_all,3min,-541.8,157.4,-384.4,12531,80.3,-409.9,-680.1,-32792.0,-51784.0,34.0
MPB2_3min_trail2.0_rth,3min,-279.3,63.3,-216.0,5046,32.3,-201.3,-361.0,-16108.0,-27486.0,34.4
PERS_3min_time5_all,3min,-501.2,586.6,85.4,46729,299.3,-574.8,-423.5,-45981.0,-32249.0,46.6
PERS_3min_time5_rth,3min,-163.0,196.8,33.8,15677,100.4,-165.2,-160.6,-13219.0,-12232.0,48.7
PERS_3min_time15_all,3min,-170.6,251.9,81.3,20065,128.5,-304.6,-29.8,-24365.0,-2271.0,47.8
PERS_3min_time15_rth,3min,3.7,85.1,88.8,6776,43.4,-69.8,81.0,-5582.0,6166.0,49.2
PERS_3min_time40_all,3min,94.4,104.1,198.5,8286,53.1,48.2,142.9,3854.0,10882.0,49.2
PERS_3min_time40_rth,3min,10.2,38.2,48.4,3048,19.5,-15.2,36.8,-1217.0,2803.0,49.0
PERS_3min_trail2.0_all,3min,-1468.0,416.3,-1051.7,33159,212.4,-1317.1,-1625.7,-105367.0,-123783.0,32.4
PERS_3min_trail2.0_rth,3min,-630.3,134.5,-495.8,10715,68.6,-560.6,-703.3,-44848.0,-53549.0,33.4
BIGB_3min_time5_all,3min,-143.5,104.1,-39.4,8289,53.1,-97.3,-192.0,-7786.0,-14617.0,44.6
